Project_ID,Project_Name,Project_Type,Team_Size,Budget,Duration,Tech_Stack,Project_Phase,Risk_Description,Risk_Category,Risk_Severity,Risk_Impact,Risk_Status,Mitigation_Strategy,Outcome
P00026,Project 26,Mobile App,15,207,16,"AWS, Python",Penutupan,Server downtime during deployment,Scope,Low,Low,Potensial,Audit ulang pipeline,Berhasil
P00027,Project 27,ERP,14,407,8,"PHP, MySQL",Perencanaan,Error sistem saat UAT,Waktu,High,Medium,Potensial,Audit ulang pipeline,Berhasil
P00028,Project 28,ERP,15,938,5,"Flutter, Firebase",Perencanaan,Estimasi waktu yang tidak realistis,Scope,Low,Low,Potensial,Workshop bersama stakeholder,Gagal
P00029,Project 29,AI,4,687,11,"AWS, Python",Perencanaan,Developer utama mengundurkan diri,SDM,Low,High,Potensial,Tambahkan data latih dari proyek sebelumnya,Gagal
P00030,Project 30,AI / IoT,7,525,4,"Flutter, Firebase",Eksekusi,Error sistem saat UAT,Teknis,Low,Medium,Potensial,Tambahkan fallback koneksi & testing,Berhasil
P00031,Project 31,ERP,11,273,10,"Python, TensorFlow",Penutupan,Developer utama mengundurkan diri,SDM,High,Low,Potensial,Audit ulang pipeline,Tertunda
P00032,Project 32,AI / IoT,14,358,13,"Laravel, MySQL",Eksekusi,Sensor gagal mengirim data real-time,Waktu,Low,Low,Terjadi,Audit ulang pipeline,Berhasil
P00033,Project 33,Mobile App,7,870,5,"AWS, Python",Eksekusi,Kurangnya dokumentasi,SDM,Medium,Low,Terjadi,Audit ulang pipeline,Berhasil
P00034,Project 34,Infrastruktur,7,815,13,"Python, Node-RED",Penutupan,Developer utama mengundurkan diri,Waktu,Medium,High,Terjadi,Redundansi sensor dan buffer data,Tertunda
P00035,Project 35,AI / IoT,14,838,12,"Docker, Jenkins, Python",Penutupan,Modul pembayaran gagal terkoneksi,Teknis,Low,High,Potensial,Jadwal ulang deployment pada malam hari,Tertunda
P00036,Project 36,AI,8,112,16,"C#, SQL Server",Penutupan,Dataset tidak cukup representatif,SDM,Medium,Low,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00037,Project 37,Mobile App,11,850,4,"C#, SQL Server",Penutupan,Dataset tidak cukup representatif,SDM,Medium,High,Potensial,Audit ulang pipeline,Berhasil
P00038,Project 38,Mobile App,11,835,6,"C#, SQL Server",Perencanaan,Sensor gagal mengirim data real-time,Teknis,Medium,Low,Terjadi,Tambahkan fallback koneksi & testing,Berhasil
P00039,Project 39,Enterprise,3,910,16,"AWS, Python",Perencanaan,Salah konfigurasi pipeline CI/CD,Waktu,Medium,Medium,Potensial,Tambahkan fallback koneksi & testing,Berhasil
P00040,Project 40,Enterprise,10,207,14,"Java, SAP",Perencanaan,Sensor gagal mengirim data real-time,Teknis,Medium,Low,Terjadi,Audit ulang pipeline,Berhasil
P00041,Project 41,ERP,10,623,14,"Laravel, MySQL",Penutupan,Modul pembayaran gagal terkoneksi,SDM,High,High,Terjadi,Fix bug dan ulang UAT,Berhasil
P00042,Project 42,Web Dev,11,513,8,"Laravel, MySQL",Perencanaan,Error sistem saat UAT,Scope,Medium,Low,Terjadi,Fix bug dan ulang UAT,Gagal
P00043,Project 43,AI / IoT,10,332,15,"Java, SAP",Perencanaan,Modul pembayaran gagal terkoneksi,Waktu,Low,Low,Potensial,Workshop bersama stakeholder,Tertunda
P00044,Project 44,Enterprise,14,829,9,"C#, SQL Server",Perencanaan,Server downtime during deployment,SDM,Low,High,Potensial,Fix bug dan ulang UAT,Tertunda
P00045,Project 45,Infrastruktur,10,113,4,"Java, SAP",Eksekusi,Salah konfigurasi pipeline CI/CD,Waktu,High,High,Terjadi,Fix bug dan ulang UAT,Berhasil
P00046,Project 46,AI,9,335,6,"PHP, MySQL",Eksekusi,Sensor gagal mengirim data real-time,Teknis,Low,Low,Terjadi,Revisi WBS dan perencanaan ulang,Gagal
P00047,Project 47,Infrastruktur,7,365,5,"AWS, Python",Eksekusi,Sensor gagal mengirim data real-time,SDM,Medium,Medium,Potensial,Rekrut developer pengganti sementara,Gagal
P00048,Project 48,Web Dev,7,968,14,"Flutter, Firebase",Perencanaan,Tujuan proyek tidak didefinisikan dengan baik,Waktu,Medium,Low,Potensial,Audit ulang pipeline,Tertunda
P00049,Project 49,AI,5,997,11,"Java, SAP",Perencanaan,Error sistem saat UAT,Waktu,Low,Low,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00050,Project 50,Mobile App,13,851,10,"Laravel, MySQL",Perencanaan,Server downtime during deployment,Scope,High,Low,Potensial,Fix bug dan ulang UAT,Berhasil
P00051,Project 51,ERP,10,510,14,"Java, SAP",Penutupan,Server downtime during deployment,Waktu,High,Low,Potensial,Tambahkan data latih dari proyek sebelumnya,Gagal
P00052,Project 52,ERP,11,357,10,"React, Node.js, MongoDB",Eksekusi,Dataset tidak cukup representatif,Waktu,Medium,Medium,Terjadi,Redundansi sensor dan buffer data,Berhasil
P00053,Project 53,Web Dev,14,766,9,"C#, SQL Server",Penutupan,Salah konfigurasi pipeline CI/CD,Teknis,Low,High,Potensial,Workshop bersama stakeholder,Berhasil
P00054,Project 54,ERP,7,409,16,"Java, SAP",Perencanaan,Kurangnya dokumentasi,Scope,Medium,High,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00055,Project 55,ERP,5,859,15,"Java, SAP",Penutupan,Error sistem saat UAT,Scope,Low,High,Potensial,Workshop bersama stakeholder,Gagal
P00056,Project 56,Web Dev,14,232,12,"Flutter, Firebase",Perencanaan,Server downtime during deployment,SDM,Medium,High,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00057,Project 57,Mobile App,12,759,9,"Python, TensorFlow",Perencanaan,Developer utama mengundurkan diri,Scope,Medium,Medium,Terjadi,Jadwal ulang deployment pada malam hari,Gagal
P00058,Project 58,AI,6,226,10,"Docker, Jenkins, Python",Eksekusi,Dataset tidak cukup representatif,Teknis,Medium,Medium,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00059,Project 59,AI,3,281,9,"Java, SAP",Penutupan,Sensor gagal mengirim data real-time,Teknis,Low,Medium,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00060,Project 60,AI / IoT,15,673,16,"C#, SQL Server",Eksekusi,Estimasi waktu yang tidak realistis,Teknis,Medium,Low,Terjadi,Fix bug dan ulang UAT,Berhasil
P00061,Project 61,Web Dev,8,926,5,"Java, SAP",Penutupan,Developer utama mengundurkan diri,SDM,Medium,High,Potensial,Revisi WBS dan perencanaan ulang,Tertunda
P00062,Project 62,Web Dev,7,588,6,"React, Node.js, MongoDB",Eksekusi,Dataset tidak cukup representatif,Scope,High,Low,Terjadi,Audit ulang pipeline,Gagal
P00063,Project 63,AI / IoT,6,414,9,"React, Node.js, MongoDB",Perencanaan,Tujuan proyek tidak didefinisikan dengan baik,Scope,Medium,High,Terjadi,Rekrut developer pengganti sementara,Gagal
P00064,Project 64,Enterprise,10,191,9,"Flutter, Firebase",Perencanaan,Estimasi waktu yang tidak realistis,SDM,Medium,Low,Potensial,Tambahkan fallback koneksi & testing,Gagal
P00065,Project 65,AI,9,696,5,"AWS, Python",Perencanaan,Salah konfigurasi pipeline CI/CD,SDM,Low,Low,Terjadi,Audit ulang pipeline,Gagal
P00066,Project 66,Enterprise,6,163,10,"C#, SQL Server",Penutupan,Tujuan proyek tidak didefinisikan dengan baik,Teknis,Low,Low,Potensial,Jadwal ulang deployment pada malam hari,Tertunda
P00067,Project 67,Mobile App,14,611,5,"Java, SAP",Penutupan,Server downtime during deployment,Scope,Medium,High,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00068,Project 68,Infrastruktur,5,640,13,"React, Node.js, MongoDB",Eksekusi,Developer utama mengundurkan diri,Waktu,Medium,Low,Potensial,Audit ulang pipeline,Berhasil
P00069,Project 69,Infrastruktur,4,336,11,"C#, SQL Server",Eksekusi,Salah konfigurasi pipeline CI/CD,Scope,Medium,Medium,Terjadi,Fix bug dan ulang UAT,Gagal
P00070,Project 70,Enterprise,15,209,14,"PHP, MySQL",Perencanaan,Salah konfigurasi pipeline CI/CD,SDM,Medium,Low,Potensial,Jadwal ulang deployment pada malam hari,Gagal
P00071,Project 71,Enterprise,6,628,13,"Python, TensorFlow",Eksekusi,Server downtime during deployment,SDM,High,High,Potensial,Tambahkan fallback koneksi & testing,Tertunda
P00072,Project 72,Infrastruktur,12,606,16,"Flutter, Firebase",Eksekusi,Server downtime during deployment,SDM,Low,Low,Terjadi,Redundansi sensor dan buffer data,Gagal
P00073,Project 73,Infrastruktur,14,152,8,"React, Node.js, MongoDB",Penutupan,Developer utama mengundurkan diri,Teknis,Medium,High,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00074,Project 74,AI,9,759,5,"PHP, MySQL",Eksekusi,Kurangnya dokumentasi,Teknis,High,Medium,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00075,Project 75,AI / IoT,5,858,15,"AWS, Python",Perencanaan,Dataset tidak cukup representatif,SDM,Low,Low,Potensial,Tambahkan data latih dari proyek sebelumnya,Tertunda
P00076,Project 76,Enterprise,4,472,13,"C#, SQL Server",Eksekusi,Developer utama mengundurkan diri,SDM,High,Medium,Terjadi,Jadwal ulang deployment pada malam hari,Tertunda
P00077,Project 77,Enterprise,4,655,9,"AWS, Python",Perencanaan,Dataset tidak cukup representatif,Waktu,High,High,Potensial,Rekrut developer pengganti sementara,Gagal
P00078,Project 78,AI / IoT,5,762,5,"Python, Node-RED",Perencanaan,Developer utama mengundurkan diri,SDM,Medium,Medium,Potensial,Jadwal ulang deployment pada malam hari,Gagal
P00079,Project 79,AI,10,218,6,"Java, SAP",Eksekusi,Dataset tidak cukup representatif,Scope,Low,High,Terjadi,Fix bug dan ulang UAT,Tertunda
P00080,Project 80,Infrastruktur,7,113,14,"Python, TensorFlow",Eksekusi,Estimasi waktu yang tidak realistis,Teknis,High,Low,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00081,Project 81,Enterprise,10,557,16,"Flutter, Firebase",Penutupan,Estimasi waktu yang tidak realistis,Waktu,High,Low,Terjadi,Jadwal ulang deployment pada malam hari,Berhasil
P00082,Project 82,Infrastruktur,4,423,7,"React, Node.js, MongoDB",Perencanaan,Developer utama mengundurkan diri,Waktu,Medium,High,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00083,Project 83,ERP,5,682,9,"Python, Node-RED",Penutupan,Kurangnya dokumentasi,Waktu,Medium,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00084,Project 84,AI,10,546,13,"Python, Node-RED",Perencanaan,Error sistem saat UAT,Teknis,High,Low,Terjadi,Jadwal ulang deployment pada malam hari,Tertunda
P00085,Project 85,Infrastruktur,14,862,12,"Java, SAP",Penutupan,Dataset tidak cukup representatif,Scope,Low,Medium,Potensial,Fix bug dan ulang UAT,Tertunda
P00086,Project 86,Enterprise,13,892,4,"Docker, Jenkins, Python",Perencanaan,Salah konfigurasi pipeline CI/CD,Scope,Medium,High,Potensial,Tambahkan sesi dokumentasi di akhir proyek,Gagal
P00087,Project 87,Enterprise,15,213,8,"Docker, Jenkins, Python",Perencanaan,Estimasi waktu yang tidak realistis,Waktu,Medium,Low,Terjadi,Jadwal ulang deployment pada malam hari,Berhasil
P00088,Project 88,Web Dev,5,777,4,"Python, Node-RED",Eksekusi,Estimasi waktu yang tidak realistis,Waktu,Low,Low,Potensial,Rekrut developer pengganti sementara,Berhasil
P00089,Project 89,Infrastruktur,14,442,10,"C#, SQL Server",Perencanaan,Dataset tidak cukup representatif,Scope,Medium,Medium,Terjadi,Redundansi sensor dan buffer data,Berhasil
P00090,Project 90,Mobile App,7,218,15,"C#, SQL Server",Eksekusi,Error sistem saat UAT,Scope,High,Medium,Terjadi,Fix bug dan ulang UAT,Berhasil
P00091,Project 91,AI,3,810,9,"Python, TensorFlow",Eksekusi,Developer utama mengundurkan diri,Waktu,Medium,Medium,Potensial,Rekrut developer pengganti sementara,Gagal
P00092,Project 92,Enterprise,3,361,12,"Flutter, Firebase",Penutupan,Salah konfigurasi pipeline CI/CD,Teknis,Low,Medium,Potensial,Jadwal ulang deployment pada malam hari,Gagal
P00093,Project 93,Enterprise,12,720,12,"Docker, Jenkins, Python",Penutupan,Developer utama mengundurkan diri,Teknis,Medium,Low,Potensial,Redundansi sensor dan buffer data,Berhasil
P00094,Project 94,Enterprise,11,824,12,"React, Node.js, MongoDB",Penutupan,Developer utama mengundurkan diri,Waktu,High,Low,Potensial,Revisi WBS dan perencanaan ulang,Gagal
P00095,Project 95,Infrastruktur,15,877,9,"React, Node.js, MongoDB",Perencanaan,Modul pembayaran gagal terkoneksi,Scope,High,Low,Terjadi,Tambahkan data latih dari proyek sebelumnya,Berhasil
P00096,Project 96,Web Dev,8,804,15,"AWS, Python",Penutupan,Sensor gagal mengirim data real-time,Waktu,High,High,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00097,Project 97,ERP,11,324,14,"Flutter, Firebase",Eksekusi,Tujuan proyek tidak didefinisikan dengan baik,Scope,Medium,High,Potensial,Tambahkan fallback koneksi & testing,Berhasil
P00098,Project 98,Web Dev,3,312,6,"React, Node.js, MongoDB",Eksekusi,Tujuan proyek tidak didefinisikan dengan baik,Scope,Low,High,Terjadi,Revisi WBS dan perencanaan ulang,Berhasil
P00099,Project 99,AI / IoT,3,376,9,"Docker, Jenkins, Python",Penutupan,Sensor gagal mengirim data real-time,SDM,Low,Medium,Potensial,Tambahkan fallback koneksi & testing,Gagal
P00100,Project 100,AI / IoT,4,600,7,"Python, Node-RED",Perencanaan,Estimasi waktu yang tidak realistis,Teknis,High,Medium,Terjadi,Jadwal ulang deployment pada malam hari,Gagal
P00101,Project 101,AI,8,203,12,"Java, SAP",Perencanaan,Estimasi waktu yang tidak realistis,Waktu,High,Low,Potensial,Workshop bersama stakeholder,Gagal
P00102,Project 102,AI / IoT,15,239,13,"Laravel, MySQL",Perencanaan,Estimasi waktu yang tidak realistis,Teknis,Low,Low,Terjadi,Rekrut developer pengganti sementara,Berhasil
P00103,Project 103,Web Dev,10,865,14,"Docker, Jenkins, Python",Penutupan,Error sistem saat UAT,Scope,High,Medium,Potensial,Workshop bersama stakeholder,Gagal
P00104,Project 104,Enterprise,5,491,6,"Docker, Jenkins, Python",Eksekusi,Sensor gagal mengirim data real-time,SDM,Low,High,Terjadi,Tambahkan fallback koneksi & testing,Tertunda
P00105,Project 105,ERP,5,102,14,"Java, SAP",Eksekusi,Modul pembayaran gagal terkoneksi,Waktu,High,Medium,Potensial,Workshop bersama stakeholder,Tertunda
P00106,Project 106,ERP,7,798,6,"Python, TensorFlow",Perencanaan,Sensor gagal mengirim data real-time,Scope,High,Low,Terjadi,Audit ulang pipeline,Tertunda
P00107,Project 107,AI,11,362,7,"AWS, Python",Penutupan,Tujuan proyek tidak didefinisikan dengan baik,SDM,Medium,High,Potensial,Rekrut developer pengganti sementara,Gagal
P00108,Project 108,ERP,3,700,9,"Docker, Jenkins, Python",Penutupan,Dataset tidak cukup representatif,Teknis,Low,Medium,Potensial,Tambahkan data latih dari proyek sebelumnya,Berhasil
P00109,Project 109,AI,4,105,4,"Docker, Jenkins, Python",Perencanaan,Tujuan proyek tidak didefinisikan dengan baik,SDM,Low,Medium,Potensial,Revisi WBS dan perencanaan ulang,Berhasil
P00110,Project 110,AI / IoT,7,589,5,"Python, Node-RED",Penutupan,Server downtime during deployment,SDM,Medium,Medium,Potensial,Audit ulang pipeline,Berhasil
P00111,Project 111,AI,10,165,11,"Flutter, Firebase",Eksekusi,Estimasi waktu yang tidak realistis,Teknis,Medium,Low,Terjadi,Audit ulang pipeline,Tertunda
P00112,Project 112,Mobile App,12,779,5,"Flutter, Firebase",Eksekusi,Sensor gagal mengirim data real-time,Waktu,Medium,Low,Terjadi,Audit ulang pipeline,Tertunda
P00113,Project 113,Mobile App,11,501,7,"Flutter, Firebase",Penutupan,Salah konfigurasi pipeline CI/CD,Teknis,Low,High,Potensial,Fix bug dan ulang UAT,Gagal
P00114,Project 114,AI / IoT,3,848,5,"Java, SAP",Perencanaan,Developer utama mengundurkan diri,Scope,Low,Low,Potensial,Redundansi sensor dan buffer data,Tertunda
P00115,Project 115,Enterprise,11,446,10,"Python, Node-RED",Penutupan,Sensor gagal mengirim data real-time,Teknis,Medium,High,Potensial,Tambahkan fallback koneksi & testing,Berhasil
P00116,Project 116,AI,14,265,11,"Java, SAP",Penutupan,Sensor gagal mengirim data real-time,Teknis,Low,High,Terjadi,Tambahkan fallback koneksi & testing,Gagal
P00117,Project 117,ERP,3,485,4,"C#, SQL Server",Penutupan,Dataset tidak cukup representatif,Waktu,Medium,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Tertunda
P00118,Project 118,Mobile App,4,750,5,"Flutter, Firebase",Perencanaan,Server downtime during deployment,Teknis,High,High,Terjadi,Rekrut developer pengganti sementara,Gagal
P00119,Project 119,ERP,7,245,5,"React, Node.js, MongoDB",Eksekusi,Tujuan proyek tidak didefinisikan dengan baik,Teknis,High,Low,Terjadi,Fix bug dan ulang UAT,Tertunda
P00120,Project 120,Infrastruktur,13,435,13,"Docker, Jenkins, Python",Penutupan,Modul pembayaran gagal terkoneksi,Waktu,High,Low,Terjadi,Revisi WBS dan perencanaan ulang,Gagal
P00121,Project 121,Web Dev,7,390,7,"AWS, Python",Penutupan,Estimasi waktu yang tidak realistis,Scope,Low,Medium,Terjadi,Tambahkan data latih dari proyek sebelumnya,Tertunda
P00122,Project 122,Web Dev,14,714,8,"Python, Node-RED",Perencanaan,Dataset tidak cukup representatif,Teknis,High,High,Potensial,Redundansi sensor dan buffer data,Gagal
P00123,Project 123,Infrastruktur,9,108,7,"AWS, Python",Perencanaan,Salah konfigurasi pipeline CI/CD,Teknis,Low,High,Potensial,Fix bug dan ulang UAT,Gagal
P00124,Project 124,Web Dev,3,162,6,"Java, SAP",Penutupan,Kurangnya dokumentasi,Scope,Medium,Medium,Potensial,Audit ulang pipeline,Berhasil
P00125,Project 125,Enterprise,14,749,15,"AWS, Python",Penutupan,Modul pembayaran gagal terkoneksi,SDM,High,Medium,Potensial,Redundansi sensor dan buffer data,Tertunda
P00126,Project 126,Mobile App,4,276,9,"React, Node.js, MongoDB",Penutupan,Kurangnya dokumentasi,Scope,Medium,Medium,Terjadi,Rekrut developer pengganti sementara,Tertunda
P00127,Project 127,Enterprise,5,205,13,"Flutter, Firebase",Penutupan,Dataset tidak cukup representatif,Scope,Medium,High,Potensial,Tambahkan data latih dari proyek sebelumnya,Tertunda
P00128,Project 128,Enterprise,8,131,13,"PHP, MySQL",Eksekusi,Sensor gagal mengirim data real-time,Scope,High,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Gagal
P00129,Project 129,AI / IoT,8,894,15,"C#, SQL Server",Perencanaan,Kurangnya dokumentasi,Scope,Medium,Low,Potensial,Audit ulang pipeline,Tertunda
P00130,Project 130,Mobile App,9,295,13,"PHP, MySQL",Penutupan,Error sistem saat UAT,SDM,Medium,Low,Potensial,Redundansi sensor dan buffer data,Berhasil
P00131,Project 131,Mobile App,4,904,16,"C#, SQL Server",Perencanaan,Tujuan proyek tidak didefinisikan dengan baik,Scope,Medium,Medium,Terjadi,Tambahkan fallback koneksi & testing,Tertunda
P00132,Project 132,Infrastruktur,11,623,15,"C#, SQL Server",Penutupan,Developer utama mengundurkan diri,Waktu,High,High,Terjadi,Rekrut developer pengganti sementara,Berhasil
P00133,Project 133,AI / IoT,8,1000,11,"Laravel, MySQL",Penutupan,Modul pembayaran gagal terkoneksi,Waktu,High,Low,Potensial,Audit ulang pipeline,Tertunda
P00134,Project 134,Web Dev,3,657,7,"Laravel, MySQL",Perencanaan,Sensor gagal mengirim data real-time,Scope,Medium,Low,Terjadi,Tambahkan data latih dari proyek sebelumnya,Gagal
P00135,Project 135,Web Dev,12,353,14,"Python, Node-RED",Perencanaan,Modul pembayaran gagal terkoneksi,Teknis,Medium,Medium,Potensial,Rekrut developer pengganti sementara,Berhasil
P00136,Project 136,AI / IoT,5,958,16,"C#, SQL Server",Penutupan,Sensor gagal mengirim data real-time,Waktu,Low,Low,Terjadi,Tambahkan fallback koneksi & testing,Gagal
P00137,Project 137,ERP,9,174,10,"Laravel, MySQL",Penutupan,Error sistem saat UAT,SDM,Low,High,Terjadi,Tambahkan fallback koneksi & testing,Gagal
P00138,Project 138,AI,11,729,13,"Docker, Jenkins, Python",Eksekusi,Estimasi waktu yang tidak realistis,Waktu,Low,High,Terjadi,Audit ulang pipeline,Tertunda
P00139,Project 139,ERP,11,777,14,"Python, Node-RED",Penutupan,Dataset tidak cukup representatif,Scope,Medium,High,Potensial,Revisi WBS dan perencanaan ulang,Gagal
P00140,Project 140,Infrastruktur,6,412,15,"Flutter, Firebase",Eksekusi,Developer utama mengundurkan diri,Waktu,High,Medium,Terjadi,Workshop bersama stakeholder,Gagal
P00141,Project 141,Infrastruktur,5,346,6,"Python, Node-RED",Eksekusi,Estimasi waktu yang tidak realistis,SDM,Medium,High,Potensial,Workshop bersama stakeholder,Gagal
P00142,Project 142,Infrastruktur,12,345,15,"Docker, Jenkins, Python",Perencanaan,Modul pembayaran gagal terkoneksi,SDM,High,Low,Terjadi,Tambahkan fallback koneksi & testing,Tertunda
P00143,Project 143,ERP,11,951,7,"AWS, Python",Penutupan,Estimasi waktu yang tidak realistis,SDM,Medium,Medium,Potensial,Jadwal ulang deployment pada malam hari,Berhasil
P00144,Project 144,Infrastruktur,15,596,10,"Laravel, MySQL",Penutupan,Kurangnya dokumentasi,Waktu,Low,Low,Terjadi,Workshop bersama stakeholder,Gagal
P00145,Project 145,Enterprise,4,134,9,"React, Node.js, MongoDB",Perencanaan,Developer utama mengundurkan diri,SDM,High,Medium,Terjadi,Revisi WBS dan perencanaan ulang,Gagal
P00146,Project 146,Web Dev,5,333,16,"Java, SAP",Eksekusi,Server downtime during deployment,SDM,Medium,Medium,Potensial,Tambahkan fallback koneksi & testing,Berhasil
P00147,Project 147,AI / IoT,8,245,11,"React, Node.js, MongoDB",Eksekusi,Tujuan proyek tidak didefinisikan dengan baik,Waktu,Low,High,Terjadi,Audit ulang pipeline,Gagal
P00148,Project 148,Infrastruktur,15,250,13,"AWS, Python",Penutupan,Tujuan proyek tidak didefinisikan dengan baik,SDM,Medium,Medium,Terjadi,Jadwal ulang deployment pada malam hari,Tertunda
P00149,Project 149,Infrastruktur,3,106,7,"Python, TensorFlow",Perencanaan,Modul pembayaran gagal terkoneksi,Scope,Low,High,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Berhasil
P00150,Project 150,AI,4,844,7,"Laravel, MySQL",Perencanaan,Modul pembayaran gagal terkoneksi,SDM,Low,Low,Potensial,Tambahkan data latih dari proyek sebelumnya,Berhasil
P00151,Project 151,Infrastruktur,15,721,13,"Laravel, MySQL",Eksekusi,Kurangnya dokumentasi,Waktu,Medium,Low,Terjadi,Tambahkan sesi dokumentasi di akhir proyek,Gagal
